,MonthPE,DayPE,Date,Daily_Temp,Daily_Precipitation,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_GHI,Daily_radiation
2017-03-28,3,28,2017-03-28,29.407692307692308,41.73846153846154,75.53846153846155,1005.3615384615384,205.84615384615384,2.9153846153846157,322.46153846153845,221.92307692307693,486.38461538461536
2017-03-29,3,29,2017-03-29,29.99230769230769,47.48461538461538,73.82307692307693,1004.6384615384615,221.07692307692307,2.5923076923076924,174.0,291.61538461538464,426.2307692307692
2017-03-30,3,30,2017-03-30,29.71538461538461,51.89230769230768,73.40769230769229,1005.5846153846154,211.46153846153845,3.7153846153846155,210.69230769230768,272.38461538461536,442.0769230769231
2017-03-31,3,31,2017-03-31,29.176923076923075,50.79230769230769,77.19230769230768,1006.4230769230769,203.23076923076923,3.261538461538461,160.69230769230768,280.53846153846155,424.9230769230769
2017-04-01,4,1,2017-04-01,29.17692307692308,50.61538461538463,75.55384615384615,1005.8153846153847,199.92307692307693,3.361538461538461,272.84615384615387,263.2307692307692,475.0769230769231
2017-04-02,4,2,2017-04-02,28.96153846153846,52.94615384615384,78.4076923076923,1005.3307692307692,205.76923076923077,2.5384615384615383,227.76923076923077,258.0,448.38461538461536
2017-04-03,4,3,2017-04-03,28.46923076923077,54.915384615384625,79.97692307692309,1006.1384615384615,217.6153846153846,1.9,73.84615384615384,318.0,380.0
2017-04-04,4,4,2017-04-04,28.26153846153846,54.5923076923077,80.97692307692309,1006.0846153846154,226.69230769230768,2.6384615384615375,115.76923076923077,293.46153846153845,394.9230769230769
2017-04-05,4,5,2017-04-05,28.36923076923077,56.44615384615384,81.16923076923078,1005.9153846153845,215.46153846153845,3.092307692307692,65.23076923076923,309.3076923076923,366.15384615384613
2017-04-06,4,6,2017-04-06,28.861538461538462,52.60769230769232,76.78461538461539,1005.476923076923,224.3846153846154,2.553846153846154,0.5384615384615384,161.53846153846155,161.69230769230768
2017-04-07,4,7,2017-04-07,29.40000000000001,50.43846153846153,70.56153846153846,1003.9461538461538,235.0,2.469230769230769,129.46153846153845,294.46153846153845,406.38461538461536
2017-04-08,4,8,2017-04-08,28.015384615384615,56.53846153846154,82.69230769230768,1004.6692307692308,220.92307692307693,1.6538461538461537,33.23076923076923,217.23076923076923,249.0
2017-04-09,4,9,2017-04-09,27.846153846153847,55.56923076923077,80.88461538461539,1005.4846153846154,211.92307692307693,3.269230769230769,0.23076923076923078,129.0,129.23076923076923
2017-04-10,4,10,2017-04-10,28.6076923076923,50.68461538461539,77.43846153846154,1004.8615384615382,195.6153846153846,3.0846153846153848,194.30769230769232,293.46153846153845,442.9230769230769
2017-04-11,4,11,2017-04-11,29.361538461538466,53.66923076923077,73.8923076923077,1004.2692307692307,236.3846153846154,2.9615384615384617,1.8461538461538463,234.3846153846154,235.30769230769232
2017-04-12,4,12,2017-04-12,28.569230769230767,54.37692307692308,80.6923076923077,1005.1538461538462,231.76923076923077,3.0461538461538455,86.15384615384616,285.2307692307692,359.46153846153845
2017-04-13,4,13,2017-04-13,28.61538461538461,57.330769230769235,81.55384615384615,1005.3846153846154,236.3846153846154,3.6230769230769235,31.615384615384617,173.69230769230768,203.46153846153845
2017-04-14,4,14,2017-04-14,28.323076923076922,53.43846153846155,80.89230769230768,1005.623076923077,236.30769230769232,2.9538461538461545,38.84615384615385,266.6923076923077,303.84615384615387
